InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537158,20725,LUNCH BAG RED RETROSPOT,8,2025-01-05 00:00,1.48,C10437,United Kingdom
539027,20727,LUNCH BAG BLACK SKULL,24,2025-01-06 00:00,1.65,C10772,Germany
537091,22383,LUNCH BAG SUKI DESIGN,12,2025-01-07 00:00,1.65,C10236,United Kingdom
536490,20725,LUNCH BAG RED RETROSPOT,7,2025-01-07 00:00,1.65,C10772,Germany
536664,37444A,YELLOW BREAKFAST CUP AND SAUCER,10,2025-01-07 00:00,2.95,,United Kingdom
537147,84406B,CREAM CUPID HEARTS COAT HANGER,22,2025-01-09 00:00,2.75,C10772,Germany
538278,20728,LUNCH BAG CARS BLUE,11,2025-01-09 00:00,1.65,C10235,United Kingdom
538736,22961,JAM MAKING SET PRINTED,9,2025-01-09 00:00,1.45,C10437,United Kingdom
538499,22961,JAM MAKING SET PRINTED,13,2025-01-10 00:00,1.6,C10235,United Kingdom
538171,22423,REGENCY CAKESTAND 3 TIER,9,2025-01-10 00:00,12.75,C10236,United Kingdom
537968,22386,JUMBO BAG PINK POLKADOT,8,2025-01-11 00:00,1.95,C10236,United Kingdom
537372,22423,REGENCY CAKESTAND 3 TIER,27,2025-01-11 00:00,12.75,C10236,United Kingdom
537145,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2025-01-12 00:00,4.25,C10352,Spain
539140,22386,JUMBO BAG PINK POLKADOT,16,2025-01-12 00:00,2.14,C10051,United Kingdom
538201,22423,REGENCY CAKESTAND 3 TIER,11,2025-01-12 00:00,14.02,C10437,United Kingdom
539065,22961,JAM MAKING SET PRINTED,11,2025-01-13 00:00,1.45,C10352,Spain
539073,20725,LUNCH BAG RED RETROSPOT,12,2025-01-13 00:00,1.65,C10236,United Kingdom
536535,37444A,YELLOW BREAKFAST CUP AND SAUCER,17,2025-01-14 00:00,2.95,C10053,United Kingdom
537461,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-01-14 00:00,2.55,C10410,United Kingdom
538541,20728,LUNCH BAG CARS BLUE,15,2025-01-14 00:00,1.65,C10051,United Kingdom
537304,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2025-01-14 00:00,1.65,C10638,Spain
539294,22961,JAM MAKING SET PRINTED,8,2025-01-14 00:00,1.45,C10677,United Kingdom
537815,20727,LUNCH BAG BLACK SKULL,10,2025-01-15 00:00,1.65,C10641,United Kingdom
537205,22752,SET 7 BABUSHKA NESTING BOXES,22,2025-01-15 00:00,8.5,C10677,United Kingdom
538408,22752,SET 7 BABUSHKA NESTING BOXES,15,2025-01-15 00:00,8.5,C10151,United Kingdom
537534,20725,LUNCH BAG RED RETROSPOT,11,2025-01-16 00:00,1.65,C10437,United Kingdom
538400,23203,JUMBO BAG VINTAGE DOILY,6,2025-01-16 00:00,2.05,C10235,United Kingdom
536502,22386,JUMBO BAG PINK POLKADOT,14,2025-01-16 00:00,1.95,C10236,United Kingdom
537612,71053,WHITE METAL LANTERN,4,2025-01-16 00:00,3.39,C10437,United Kingdom
539241,23203,JUMBO BAG VINTAGE DOILY,11,2025-01-17 00:00,2.05,C10641,United Kingdom
539261,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-01-17 00:00,2.55,C10151,United Kingdom
538603,22961,JAM MAKING SET PRINTED,30,2025-01-17 00:00,1.6,C10677,United Kingdom
536720,23203,JUMBO BAG VINTAGE DOILY,16,2025-01-17 00:00,2.05,C10712,United Kingdom
537105,22386,JUMBO BAG PINK POLKADOT,11,2025-01-17 00:00,1.95,C10051,United Kingdom
538884,37444A,YELLOW BREAKFAST CUP AND SAUCER,25,2025-01-17 00:00,2.95,C10151,United Kingdom
536563,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2025-01-17 00:00,2.55,C10638,Spain
538220,37444A,YELLOW BREAKFAST CUP AND SAUCER,9,2025-01-18 00:00,2.95,C10437,United Kingdom
537360,84406B,CREAM CUPID HEARTS COAT HANGER,10,2025-01-18 00:00,2.48,C10712,United Kingdom
538117,20725,LUNCH BAG RED RETROSPOT,11,2025-01-18 00:00,1.82,C10638,Spain
538424,20727,LUNCH BAG BLACK SKULL,5,2025-01-18 00:00,1.65,C10051,United Kingdom
536488,37444A,YELLOW BREAKFAST CUP AND SAUCER,15,2025-01-18 00:00,2.95,C10051,United Kingdom
536702,22752,SET 7 BABUSHKA NESTING BOXES,8,2025-01-19 00:00,8.5,C10638,Spain
